filename,probability
J01_2018.06.26 15_31_01.jpg,1e-06
J01_2018.06.19 14_08_29.jpg,0.999999
J01_2018.06.17 15_14_53.jpg,0.999999
J01_2018.06.17 08_59_16.jpg,0.991611
J01_2018.06.27 14_06_38.jpg,1e-06
J01_2018.06.27 15_21_12.jpg,0.003029
J01_2018.06.28 14_48_12.jpg,0.999797
J01_2018.06.28 13_38_55.jpg,0.894506
J01_2018.06.25 15_43_08.jpg,1e-06
J01_2018.06.22 09_45_07.jpg,1e-06
J01_2018.06.22 15_51_43.jpg,1e-06
J01_2018.06.26 09_22_51.jpg,0.999975
J01_2018.06.27 15_12_48.jpg,1e-06
J01_2018.06.25 13_58_58.jpg,3.9e-05
J01_2018.06.25 10_08_15.jpg,0.999999
J01_2018.06.28 15_22_15.jpg,1e-06
J01_2018.06.20 14_30_39.jpg,0.999999
J01_2018.06.26 13_32_51.jpg,1e-06
J01_2018.06.19 10_37_14.jpg,1e-06
J01_2018.06.25 10_20_55.jpg,0.621792
J01_2018.06.19 10_00_49.jpg,1e-06
J01_2018.06.17 13_35_03.jpg,1e-06
J01_2018.06.27 13_26_29.jpg,0.999883
J01_2018.06.25 13_45_48.jpg,1e-06
J01_2018.06.23 13_27_26.jpg,1e-06
J01_2018.06.17 14_58_23.jpg,0.070501
J01_2018.06.28 14_32_31.jpg,1e-06
J01_2018.06.16 10_20_03.jpg,1e-06
J01_2018.06.16 09_07_42.jpg,1e-06
J01_2018.06.17 15_29_15.jpg,0.999796
J01_2018.06.28 15_45_01.jpg,1e-06
J01_2018.06.26 13_47_34.jpg,1e-06
J01_2018.06.25 14_37_36.jpg,1e-06
J01_2018.06.19 09_04_43.jpg,0.285627
J01_2018.06.25 13_45_25.jpg,0.998342
J01_2018.06.27 13_51_49.jpg,0.999522
J01_2018.06.23 13_39_18.jpg,0.999983
J01_2018.06.17 14_14_50.jpg,1e-06
J01_2018.06.27 14_00_55.jpg,0.999996
J01_2018.06.26 15_35_33.jpg,1e-06
J01_2018.06.26 09_00_00.jpg,1e-06
J01_2018.06.25 09_01_54.jpg,0.137577
J01_2018.06.26 14_07_49.jpg,1e-06
J01_2018.06.22 09_06_45.jpg,0.949279
J01_2018.06.26 13_37_13.jpg,0.000236
J01_2018.06.25 14_22_43.jpg,1e-06
J01_2018.06.27 08_55_19.jpg,1e-06
J01_2018.06.20 14_17_32.jpg,1e-06
J01_2018.06.22 16_07_05.jpg,1e-06
J01_2018.06.16 10_36_00.jpg,1e-06
J01_2018.06.22 08_45_46.jpg,0.999999
J01_2018.06.26 13_44_12.jpg,1e-06
J01_2018.06.23 08_58_55.jpg,1.5e-05
